Line,Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
360,360,OCEAN PARK/PEACE ARCH HOSPITAL,Southeast,Mini-Bus,Basic," 28,000 "," 8,000 ",400m, 12.2 ,,- Fall 2017: Renumber former C50 to new 360 (all days),- Spring 2017: Increase service 06:00-15:00 from every 60 to 30 min (M-F),0,0,0,0,0,0,0
361,361,OCEAN PARK/WHITE ROCK CENTRE,Southeast,Mini-Bus,Basic," 31,000 "," 10,000 ",400m, 11.2 ,,- Fall 2017: Renumber former C51 to new 361 (all days),- Spring 2017: Increase service 09:00-15:00 from every 60 to 30 min (M-F),0,0,0,0,0,0,0
362,362,SEASIDE/WHITE ROCK CENTRE,Southeast,Mini-Bus,Standard," 20,000 "," 8,000 ",400m, 3.5 ,,"- Fall 2017: Renumber former C52 to new 362 (all days); Maintain summer seasonal increase permanently 19:00-22:00 (M-F), 08:00-24:00 (Sat), 08:00-22:00 (S/H) from every 60 to 30 min ",- Spring 2017: Increase service 09:00-15:00 from every 60 to 30 min (M-F),0,0,0,0,0,0,0
363,363,SOUTHPOINT/PEACE ARCH HOSPITAL,Southeast,Mini-Bus,Standard," 38,000 "," 15,000 ",400m, 11.9 , Data reflects new service area to Morgan Creek in Sep 2017 ,- Fall 2017: Renumber former C53 to new 363; Reroute to Morgan Creek via 32nd Avenue (all days),- Spring 2017: Increase service 09:00-15:00 from every 60 to 30 min (M-F),0,0,0,0,0,0,0
364,364,LANGLEY CENTRE/SCOTTSDALE EXCH,Southeast,Std. Bus,Standard," 61,000 "," 23,000 ",400m, 21.7 ,,0,0,0,0,0,0,0,0,0
370,370,CLOVERDALE/WILLOWBROOK,Southeast,Mini-Bus,Basic," 31,000 "," 9,000 ",400m, 10.5 ,,- Winter 2017: Operate route by contractor (M-F),- Summer 2018: Change route name from C70 to 370 (all days),0,0,0,0,0,0,0
371,371,SURREY CENTRAL STN/SCOTT RD STN,Southeast,Mini-Bus,Basic," 28,000 "," 9,000 ",400m, 8.0 ,,- Spring 2018: Change route name from C71 to 371 (all days),0,0,0,0,0,0,0,0
372,372,CLAYTON HEIGHTS/LANGLEY CENTRE,Southeast,Mini-Bus,Standard," 29,000 "," 14,000 ",400m, 10.2 , New route to Clayton Heights starting Sep 2017 ,- Fall 2017: Introduce new 30-min service to Clayton Heights (all days),- Winter 2017: Introduce new service span 20:00-21:00 running every 30 min (S/H),0,0,0,0,0,0,0
373,373,GUILDFORD EXCH/SURREY CENTRAL STN,Southeast,Mini-Bus,Basic," 54,000 "," 16,000 ",400m, 13.6 ,,- Spring 2017: Increase service during p.m. peak from every 30 to 20 min (M-F),- Spring 2018: Change route name from C73 to 373 (all days),0,0,0,0,0,0,0
375,375,WHITE ROCK/WHITE ROCK SOUTH/GUILDFORD EXCH,Southeast,Std. Bus,Standard," 73,000 "," 25,000 ",400m, 22.2 ,,"- Spring 2017: Extend 60-min SB service until 22:48 (M-F, Sat)",0,0,0,0,0,0,0,0
388,388,22ND ST STN/CARVOLTH EXCH,Southeast,Std. Bus,Peak Only Limited," 44,000 "," 24,000 ",400m, 33.3 , Low data sampling 2015 ,- Spring 2016: Add one bus/hour during a.m./p.m. peaks for Pattullo Bridge Rehabilitation (M-F),- Fall 2016: Return to regular service levels after Pattullo Bridge Rehabilitation (remove one bus/hour during a.m./p.m. peaks; M-F),"- Winter 2018, Convert from community shuttle to standard 40' bus (all days)",0,0,0,0,0,0
391,391,SCOTTSDALE/SCOTT ROAD STN,Southeast,Std. Bus,Peak Only Limited," 33,000 "," 6,000 ",400m, 9.0 ,,0,0,0,0,0,0,0,0,0
393,393,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Only Limited," 60,000 "," 19,000 ",400m, 13.2 ,,0,0,0,0,0,0,0,0,0
394,394,WHITE ROCK/KING GEORGE STN EXPRESS,Southeast,Std. Bus,Peak Only Limited," 53,000 "," 28,000 ",400m, 20.0 , Low data sampling 2018 ,- Fall 2016: Adjust stopping procedure to simplify route and improve travel times (all days),0,0,0,0,0,0,0,0
395,395,LANGLEY CENTRE/KING GEORGE STN,Southeast,Std. Bus,Peak Only Limited," 59,000 "," 30,000 ",400m, 20.4 ,,- Summer 2015: Revise eastern terminus from 200th St & 6th Ave to Langley Centre (all days),0,0,0,0,0,0,0,0
401,401,ONE ROAD/BRIGHOUSE STN,Southwest,Std. Bus,Peak Frequent," 49,000 "," 18,000 ",400m, 16.7 , Data reflects split with 408 in Sep 2018 ,- Spring 2017: Increase service during a.m./p.m. peaks from every 10-15 to 9-12 min; Increase service 22:00-24:00 from every 60 to 30 min (M-F),"- Fall 2018: Split 401 at Brighouse Stn, this route serves Brighouse Stn to Steveston (all days)",0,0,0,0,0,0,0
402,402,TWO ROAD/BRIGHOUSE STN,Southwest,Std. Bus,Peak Frequent," 53,000 "," 14,000 ",400m, 9.3 ,,- Spring 2015: Add one trip to Richmond-Brighouse Station on a.m. peak shoulder (M-F),- Fall 2018: Increase service 07:00-08:00 from every 12 to 10 min (M-F),0,0,0,0,0,0,0
403,403,BRIDGEPORT STN/THREE ROAD,Southwest,Std. Bus,Peak Frequent," 49,000 "," 28,000 ",400m, 12.6 ,,- Fall 2015: Increase service 09:00-18:00 from every 20 to 15 min (Sat); Convert vehicle from articulated 60' bus to standard 40' bus (Sat),- Spring 2018: Increase service 14:00-19:00 from every 20 to 15 min and 19:00-20:00 from every 30 to 20 min (Sun),"- Fall 2018: Increase service 07:00-09:00 from every 12 to 10 min, 09:00-09:30 from every 15 to 12 min, and 16:00-18:00 from every 12 to 10 min (M-F)",Summer 2019: Increase service SB 06:00-07:00 from every 30 to 12 mins (M-F),0,0,0,0,0
404,404,FOUR ROAD/BRIGHOUSE STN,Southwest,Std. Bus,Standard," 39,000 "," 14,000 ",400m, 9.6 ,,0,0,0,0,0,0,0,0,0
405,405,FIVE ROAD/CAMBIE,Southwest,Std. Bus,Standard," 58,000 "," 36,000 ",400m, 19.4 ,,0,0,0,0,0,0,0,0,0
406,406,BRIGHOUSE STN/STEVESTON,Southwest,Std. Bus,All Day Frequent," 60,000 "," 15,000 ",400m,, Data reflects split with 410 in Sep 2018; See 410 for earlier data ,"- Fall 2018: Split 410 at Brighouse Station, this route serves Brighouse Station to Steveston (all days)",0,0,0,0,0,0,0,0
407,407,GILBERT/BRIDGEPORT,Southwest,Std. Bus,Standard," 80,000 "," 36,000 ",400m, 19.0 ,,0,0,0,0,0,0,0,0,0
408,408,BRIGHOUSE STN/IRONWOOD/RIVERPORT,Southwest,Std. Bus,Peak Frequent," 52,000 "," 18,000 ",400m,, Data reflects split with 401 in Sep 2018; See 401 for earlier data ,"- Fall 2018: Split 401 at Brighouse Station, this route serves Brighouse Stn to Ironwood/Riverport (all days)",0,0,0,0,0,0,0,0
410,410,22ND ST STN/BRIGHOUSE STN,Southwest,Std. Bus,All Day Frequent," 50,000 "," 40,000 ",400m, 30.4 , Data reflects split with 406 in Sep 2018 ,- Spring 2015: Add one trip departing 22nd St Station on p.m. peak shoulder (M-F),- Spring 2016: Add one bus/hour during a.m./p.m. peak for Pattullo Bridge Rehabilitation (M-F),- Fall 2016: Return to regular service after Pattullo Bridge Rehabilitation (remove one bus/hour during a.m./p.m. peaks; M-F),"- Spring 2017: Increase service during a.m. peak from every 7 to 6 min, during p.m. peak from every 9 to 8 min, 21:00-24:00 from every 30 to 20 min (M-F); Increase service 14:00-16:00 (Sat) from every 10 to 9 min and 22:00-24:00 from every 30 to 20 min (Sat; S/H)","- Fall 2018: Split 410 at Brighouse Station, this route serves Brighouse Stn to 22nd Street Stn (all days)",0,0,0,0
412,412,BRIDGEPORT STN/SEA ISLAND SOUTH,Southwest,Std. Bus,Basic," 2,000 "," 5,000 ",400m, 6.7 ,,- Fall 2018: Change route name from C92 to 412 (all days),0,0,0,0,0,0,0,0
413,413,RIVERPORT/STEVESTON,Southwest,Mini-Bus,Basic," 32,000 "," 7,000 ",400m, 12.0 , Limited data sampling 2015 ,- Fall 2018: Change route name from C93 to 413 (all days),0,0,0,0,0,0,0,0
414,414,RICHMOND OVAL/BRIGHOUSE STN,Southwest,Mini-Bus,Basic," 30,000 "," 16,000 ",400m, 4.3 , Limited data sampling 2015 ,- Fall 2018: Change route name from C94 to 414 (all days),0,0,0,0,0,0,0,0
416,416,EAST CAMBIE/BRIGHOUSE STN,Southwest,Mini-Bus,Peak Only Limited," 41,000 "," 28,000 ",400m, 10.3 , Limited data sampling 2015 ,- Fall 2018: Change route name from C96 to 416 (all days),0,0,0,0,0,0,0,0
418,418,KINGSWOOD/22ND ST STN,Southwest,Std. Bus,Peak Only Limited," 10,000 "," 6,000 ",400m, 10.1 ,,- Fall 2018: Change route name from C98 to 418 (all days),0,0,0,0,0,0,0,0
430,430,METROTOWN STN/BRIGHOUSE STN,Southwest,Std. Bus,Standard," 85,000 "," 41,000 ",400m, 18.6 ,,- Fall 2017: Increase service 06:00-09:00 from every 20 to 15 min and 09:00-13:00 from every 30 to 20 min (M-F),Summer 2019: Increase service 05:00-06:00 from every 20 to 15 mins (M-F); Extend first WB trip to start at Metrotown Station at 06:55 (Sat),0,0,0,0,0,0,0
480,480,UBC/BRIDGEPORT STN,Southwest,Std. Bus,Peak Frequent," 36,000 "," 30,000 ",400m, 18.4 ,,- Summer 2016: Adjust stopping procedure to make consistent with 043 and improve travel times (all days),0,0,0,0,0,0,0,0
501,501,LANGLEY CENTRE/SURREY CENTRAL STN,Southeast,Std. Bus,Standard," 63,000 "," 49,000 ",400m, 24.7 , Data reflects service redesign in Sep 2016; Previously both 501 and 590 ,- Fall 2016: Merge the 590 a.m. trips to Surrey Central and p.m. trips to Langley Centre into 501 schedule (M-F),- Spring 2017: Increase service 19:30-22:30 from every 60 to 30 min btw Carvolth and Langley (M-F),0,0,0,0,0,0,0
502,502,LANGLEY CENTRE/SURREY CENTRAL STN,Southeast,Std. Bus,All Day Frequent," 61,000 "," 32,000 ",400m, 18.1 ,,- Fall 2016: Truncate 502 Brookswood trips at Langley Centre; Remove peak-only trips to/from Brookswood (M-F),"- Spring 2017: Increase service during a.m./p.m. peaks from every 8-10 to 7-9 min (M-F); Increase service 09:00-12:00 and 17:00-19:00 from every 15 to 12 min (Sat); Extend 30-min service until 26:00 (M-F, Sat)","Fall 2019: Adjust service as part of an overhaul of Fraser Hwy transit services: 04:00-05:00 from every 20 to 15 mins, 05:00-09:00 from every 7-10 to 12 mins, 09:00-15:00 from every 12-15 to 15 mins, 15:00-19:00 from every 8-12 to 12 mins, 19:00-21:30 from every 30 to 15 mins, and 21:30-01:30 from every 30 to 20 mins (M-F); 06:00-00:00 from every 12-15 to 15 mins and 00:00-01:30 from every 30-40 to 30 min (Sat); 06:00-23:00 from every 15-30 to 15 mins (S/H)",0,0,0,0,0,0
503,503,ALDERGROVE/SURREY CENTRAL STN,Southeast,Std. Bus,Standard," 72,000 "," 34,000 ",400m, 32.8 ,,"Fall 2019: Increase service to create new Fraser Highway Express 06:00-09:00 and 15:00-18:00 from every 30 to 8-9 mins, 09:00-15:00 and 18:00-22:00 from every 30 to 10-15 mins, and 22:00-00:30 from every 60 to 30 mins (M-F); Increase service 05:00-20:59 from every 30 to 15 mins and 21:00-00:00 from every 45 to 15 mins (Sat); Adjust service 05:00-21:00 from every 30 to 15 mins, 21:00-22:00 from every 60 to 30 mins, and 22:00-23:00 from every 45 to 60 mins (S/H); Change stopping pattern to allow pick-up and drop-off at all express stops (all days)",0,0,0,0,0,0,0,0
509,509,WALNUT GROVE/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Only Limited," 55,000 "," 19,000 ",400m, 21.7 ,,0,0,0,0,0,0,0,0,0
531,531,WHITE ROCK CENTRE/WILLOWBROOK,Southeast,Std. Bus,Standard," 46,000 "," 30,000 ",400m, 22.8 , Data reflects new connection to Langley Centre in Sep 2016 ,- Fall 2016: Add two NB trips at 05:00 starting at 40th Ave & 204th St (M-F),- Fall 2016: Revise route to serve Langley Centre via 64th Ave and 56th Ave (all days),0,0,0,0,0,0,0
555,555,CARVOLTH EXCH / LOUGHEED STN,Southeast,Std. Bus,Peak Frequent," 19,000 "," 9,000 ",400m, 21.8 ,,- Summer 2015: Add two trips 22:00-23:00 (all days),- Summer 2015: Revise western terminus from Braid to Lougheed Town Centre (all days),- Spring 2017: Increase service 06:00-08:00 and 15:00-20:00 from every 6-15 to 5-10 min (M-F),"- Winter 2017: Increase service 06:00-07:00 from every 8 to 6 min, 07:00-08:00 from every 6 to 5 min, and 08:00-09:00 from every 10 to 7.5 min (M-F)",- Fall 2018: Increase service 09:00-14:00 from every 30 to 20 min (M-F); Increase service 10:00-17:00 from every 30 to 20 min (Sat),0,0,0,0
560/561,560/561,LANGLEY CENTRE/LANGLEY HOSPITAL–BROOKSWOOD,Southeast,Mini-Bus,Basic," 38,000 "," 11,000 ",400m, 10.7 , 560/561 run as a connected loop ,"- Summer 2018: New route 560 replaces eastern portion of C60 and C61 between Langley Centre and 48 Ave/208 St, route 561 replaces western portion of C60 and C61 between Langley Centre and 48 Ave/208 St (all days)",0,0,0,0,0,0,0,0
562,562,LANGLEY CENTRE/WALNUT GROVE,Southeast,Mini-Bus,Basic," 31,000 "," 14,000 ",400m, 20.4 ,,- Summer 2018: Change route name from C62 to 562 (all days),0,0,0,0,0,0,0,0
563,563,LANGLEY CENTRE/FERNRIDGE,Southeast,Mini-Bus,Basic," 22,000 "," 9,000 ",400m, 12.4 ,,- Summer 2017: Increase NB service during a.m. peak from every 60 to 30 min (M-F),- Summer 2018: Change route name from C63 to 563 (all days),0,0,0,0,0,0,0
564,564,LANGLEY CENTRE/WILLOWBROOK,Southeast,Mini-Bus,Basic," 19,000 "," 18,000 ",400m, 10.8 ,,- Summer 2018: Change route name from C64 to 564 (all days),0,0,0,0,0,0,0,0
595,595,MAPLE MEADOWS STN/LANGLEY CENTRE,Southeast,Std. Bus,Standard," 25,000 "," 20,000 ",400m, 16.5 , Data reflects new service area to Willoughby in Sep 2016 ,- Fall 2016: Reroute from 200th St to 208th St btw Langley Centre and Carvolth Exchange (all days),- Winter 2016: Discontinue express bus service and reintroduce all local stops to route (all days),0,0,0,0,0,0,0
601,601,SOUTH DELTA/BOUNDARY BAY/BRIDGEPORT,Southwest,Std. Bus,Peak Frequent," 24,000 "," 10,000 ",400m, 28.7 , Data reflects new service area to Tsawwassen Mills in Sep 2016 ,- Fall 2016: Reroute from 56th St to 52nd St to serve new Tsawwassen shopping mall (all days),- Fall 2016: Convert one regular pattern trip to a Boundary Bay pattern trip at 08:00 to address gap in coverage (M-F),- Spring 2017: Increase service 21:00-24:00 from every 30 to 20 min (all days),"- Winter 2018: Extend last trip to Bridgeport Stn from Steveston Hwy (Sat, S/H)",0,0,0,0,0
602,602,TSAWWASSEN HEIGHTS/BRIDGEPORT,Southwest,Std. Bus,Peak Only Limited," 14,000 "," 6,000 ",400m, 25.8 ,,0,0,0,0,0,0,0,0,0
603,603,BEACH GROVE/BRIDGEPORT,Southwest,Std. Bus,Peak Only Limited," 18,000 "," 6,000 ",400m, 14.7 ,,0,0,0,0,0,0,0,0,0
604,604,ENGLISH BLUFF/BRIDGEPORT,Southwest,Std. Bus,Peak Only Limited," 18,000 "," 6,000 ",400m, 14.6 , Low data sampling 2016 ,0,0,0,0,0,0,0,0,0
606,606,LADNER RING,Southwest,Std. Bus,Peak Only Limited," 17,000 "," 3,000 ",400m, 5.4 , Low data sampling 2015 and 2018 ,0,0,0,0,0,0,0,0,0
608,608,LADNER RING,Southwest,Std. Bus,Peak Only Limited," 17,000 "," 4,000 ",400m, 4.8 , Low data sampling 2018 ,0,0,0,0,0,0,0,0,0
609,609,TSAWWASSEN FIRST NATION/SOUTH DELTA,Southwest,Mini-Bus,Basic," 9,000 "," 4,000 ",400m, 8.1 , Data reflects new service area to Tsawwassen Mills Sep 2016; Low data sampling 2015-2017 ,- Fall 2016: Reroute via Canoe Pass Way & Salish Sea Dr to serve new Tsawwassen shopping mall (all days),- Winter 2017: Operate route by CMBC from contractor (all days),0,0,0,0,0,0,0
614,614,ENGLISH BLUFF/SOUTH DELTA REC CENTRE,Southwest,Mini-Bus,Basic," 15,000 "," 3,000 ",400m, 6.6 , No data sampling in 2015; Low data sampling 2016 ,- Fall 2018: Change route name from C84 to 614 (all days),0,0,0,0,0,0,0,0
616,616,LADNER SOUTH/LADNER EXCH,Southwest,Mini-Bus,Basic," 13,000 "," 4,000 ",400m, 3.7 ,,- Fall 2018: Change route name from C86 to 616 (all days),0,0,0,0,0,0,0,0
617,617,EAST LADNER/LADNER EXCH,Southwest,Mini-Bus,Basic," 8,000 "," 1,000 ",400m, 2.4 ,,- Fall 2018: Change route name from C87 to 617 (all days),0,0,0,0,0,0,0,0
618,618,LADNER NORTH/LADNER EXCH,Southwest,Mini-Bus,Basic," 14,000 "," 3,000 ",400m, 4.1 ,,- Fall 2018: Change route name from C88 to 618 (all days),0,0,0,0,0,0,0,0
619,619,BOUNDARY BAY/SOUTH DELTA REC CENTRE,Southwest,Mini-Bus,Basic," 6,000 "," 3,000 ",400m, 5.5 ,,- Fall 2018: Change route name from C89 to 619 (all days),0,0,0,0,0,0,0,0
620,620,TSAWWASSEN FERRY/BRIDGEPORT STN,Southwest,Double Decker,Standard," 8,000 "," 4,000 ",400m, 27.7 ,,- Fall 2016: Adjust stopping procedure to provide a more direct and faster service btw Bridgeport and Tsawwassen Ferry (all days),"- Fall 2017: Add 1 trip/hour to meet ferry 15:00-19:00 (M-F), 08:00-14:00 (Sat), 10:00-23:00 (S/H)",-Fall 2019: Switch vehicle to double decker from standard bus (all days),Fall 2019: Introduce new double decker buses on route,0,0,0,0,0
640,640,LADNER EXCH/SCOTT ROAD STN,Southeast,Std. Bus,Standard," 12,000 "," 12,000 ",400m, 24.0 ,,- Spring 2015: Increase service during p.m. peak from every 30 to 20 min (M-F),Spring 2019: Increase service 13:00-15:00 from every 30 to 20 mins and 20:00-23:00 from every 60 to 30 mins (M-F); Increase service 7:30-10:00 from every 60 to 30 mins (Sat),Summer 2019: Increase service all day from every 60 to 30 mins (Sat),0,0,0,0,0,0
701,701,HANEY/MAPLE RIDGE EAST/COQUITLAM CTRL STN,Maple Ridge/Pitt Meadows,Std. Bus,All Day Frequent," 56,000 "," 27,000 ",400m, 23.3 , Data reflects Evergreen Extension integration in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Reroute eastern segment of select trips to new terminus at Mission City Station via Lougheed Hwy (formerly served by WCE TrainBus; all days),0,0,0,0,0,0,0,0
719/722,719/722,MEADOWTOWN/FRASER WAY–BONSON,Maple Ridge/Pitt Meadows,Mini-Bus,Basic," 17,000 "," 5,000 ",400m, 5.8 , 719/722 run as a connected loop; Low data sampling 2016 ,"- Fall 2018: New route 719 replaces eastern portion of C41 from Meadowtown to Fraser Way, route 722 replaces western portion of C41 from Meadowtown to Fraser Way (all days)
- Route 722: Extend all trips to Maple Meadows",- Winter 2018: Adjust schedule to match previous C41 schedule (all days),0,0,0,0,0,0,0
733,733,ROCK RIDGE/HANEY PLACE/PORT HANEY STN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic," 19,000 "," 6,000 ",400m, 7.0 , New route to Silver Valley starting Sep 2017 ,- Fall 2017: Reroute eastern portion of former C47 as new 733; Introduce new service to Silver Valley every 30-45 min (all days),- Winter 2017: Introduce new service span 07:00-08:00 with one new trip (S/H),0,0,0,0,0,0,0
741,741,ANDERSON CREEK/HANEY PLACE/PORT HANEY STN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic," 17,000 "," 6,000 ",400m, 7.0 , New route to Silver Valley starting Sep 2017 ,- Fall 2017: Reroute western portion of former C47 as new 741; Introduce new service to Silver Valley every 30-45 min (all days),- Winter 2017: Introduce new service span 07:00-08:00 with one new trip (S/H),0,0,0,0,0,0,0
743,743,HANEY PL/MAPLE MDWS STN/MEADOWTOWN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic," 28,000 "," 11,000 ",400m, 9.9 , Low data sampling 2016 ,- Summer 2018: Change route name from C43 to 743 (all days),- Fall 2018: Extend all trips to Meadowtown (all days),0,0,0,0,0,0,0
744,744,HANEY PL/MAPLE MDWS STN/MEADOWTOWN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic," 30,000 "," 10,000 ",400m, 10.4 , Low data sampling 2016 ,- Summer 2018: Change route name from C44 to 744 (all days),- Fall 2018: Extend all trips to Meadowtown (all days),0,0,0,0,0,0,0
745/746,745/746,COTTONWOOD– ALBION/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic," 30,000 "," 8,000 ",400m, 10.6 , 745/746 run as a connected loop; Low data sampling 2016 ,- Fall 2017: Extend service until 21:00 every 60 min ](M-F),"- Summer 2018: New route 745 replaces northeastern portion of C45 and C46 between Haney Place and Jackson Rd, route 746 replaces southwestern portion of C45 and C46 between Haney Place and Jackson Rd (all days)",- Winter 2018: Add 2 p.m. peak trips 16:00-18:00 to connect with WCE (M-F),0,0,0,0,0,0
748,748,THORNHILL/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic," 19,000 "," 7,000 ",400m, 18.7 , Low data sampling 2016 ,- Summer 2018: Change route name from C48 to 748 (all days),"- Fall 2018: Remove stop at Port Haney Station for 10:18 WB trip (Sat, S/H)",0,0,0,0,0,0,0
749,749,RUSKIN/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic," 14,000 "," 7,000 ",400m, 19.4 , Low data sampling 2016 ,- Summer 2018: Change route name from C49 to 749 (all days),0,0,0,0,0,0,0,0
791,791,HANEY PLACE/BRAID STN,Maple Ridge/Pitt Meadows,Std. Bus,Basic," 36,000 "," 24,000 ",400m, 25.9 ,,0,0,0,0,0,0,0,0,0
N10,N10,DOWNTOWN/RICHMOND NIGHTBUS,Vancouver/UBC,Std. Bus,Special," 112,000 "," 159,000 ",400m, 19.4 ,,0,0,0,0,0,0,0,0,0
N15,N15,DOWNTOWN/CAMBIE NIGHTBUS,Vancouver/UBC,Std. Bus,Special," 106,000 "," 157,000 ",400m, 9.7 ,,0,0,0,0,0,0,0,0,0
N17,N17,DOWNTOWN/UBC NIGHTBUS,Vancouver/UBC,Artic. Bus,Special," 98,000 "," 153,000 ",400m, 11.5 ,,"- Fall 2015: Increase service 26:00-27:00 from every 30 to 20 min (M-F, Sat)",- Spring 2018: Remove one trip 02:00-03:00 (all days) and reinvest to extend service until 03:30 (Fri-Sat),Fall 2019: Extend EB service until 5:00 and WB service until 4:30 to create 24/7 corridor with day time route 14 (all days),0,0,0,0,0,0
N19,N19,DOWNTOWN/SURREY CTRL STN NIGHTBUS,Burnaby/New Westminster,Artic. Bus,Special," 211,000 "," 181,000 ",400m, 27.4 ,,- Fall 2015: Add add'l EB trips to provide 24hr service between first and last SkyTrain,- Fall 2015: Add one additional EB trip 26:00-27:00 (all days),Summer 2019: Add late night trips between 01:00-02:00 (Sat); Add late night trips between 12:00-02:00 (S/H),0,0,0,0,0,0
N20,N20,DOWNTOWN/VICTORIA NIGHTBUS,Vancouver/UBC,Std. Bus,Special," 134,000 "," 144,000 ",400m, 15.9 ,,"- Fall 2015: Increase service 26:00-27:00 from every 30 to 20 min (M-F, Sat) ",- Summer 2016: Revise southern terminus from Harrison Loop to Marine Drive Station (all days),"- Summer 2017: Extend 30m service until 29:00 (M-F, Sat)",0,0,0,0,0,0
N22,N22,DOWNTOWN/MACDONALD NIGHTBUS,Vancouver/UBC,Std. Bus,Special," 92,000 "," 121,000 ",400m, 10.8 , Low data sampling 2015 ,"- Summer 2016: Truncate route at Dunbar Loop; provide two-way service along W 41st Ave, Mackenzie St, and Macdonald St (all days)",0,0,0,0,0,0,0,0
N24,N24,DOWNTOWN/ LYNN VALLEY NIGHTBUS,North Shore,Std. Bus,Special," 125,000 "," 149,000 ",400m, 17.7 ,,"- Fall 2015: Increase service 26:00-27:00 from every 30 to 20 min (M-F, Sat)",0,0,0,0,0,0,0,0
N35,N35,DOWNTOWN/SFU NIGHTBUS,Burnaby/New Westminster,Artic. Bus,Special," 100,000 "," 147,000 ",400m, 17.8 ,,- Summer 2015: Increase service 26:00-27:00 from every 30 to 20 min (Sat),- Fall 2015: Increase service 26:00-27:00 from every 30 to 20 min (M-F),"- Summer 2017: Extend service until 29:00 every 30 min (M-F, Sat); Increase service 26:00-27:00 from every 30 to 20 min (Sat)",- Winter 2017: Add one trip WB at 05:00 (Sat); Add five trips WB and three trips EB 02:00-04:00 (S/H); Service on corridor now 30 min or better 24/7 when combined with 95 B-Line,0,0,0,0,0
N8,N8,DOWNTOWN/FRASER NIGHTBUS,Vancouver/UBC,Std. Bus,Special," 122,000 "," 143,000 ",400m, 12.6 ,,"- Fall 2015: Increase service 26:00-27:00 from every 30 to 20 min (M-F, Sat)",- Summer 2016: Revise southern terminus from Fraser & Marine to Marine Drive Station (all days),"- Summer 2017: Extend service until 29:00 every 30 min (M-F, Sat)",0,0,0,0,0,0
N9,N9,DOWNTOWN/LOUGHEED STN/COQ CTRL STN NIGHTBUS,Vancouver/UBC,Std. Bus,Special," 221,000 "," 220,000 ",400m, 28.1 , Low data sampling 2015 ,"- Fall 2015: Increase service 26:00-27:00 from every 30 to 20 min (M-F, Sat)",- Winter 2016: Revise due to Evergreen Extension; Extend service 25:00-29:00 every 30 min (all days),"- Summer 2017: Extend service until 28:30 every 30 min (all days); Extend early morning WB service until 06:30 (Sat, S/H)",0,0,0,0,0,0
